Event_No,Datetime,X Frequency_observed,X Frequency_trend,X Frequency_seasonal,X Frequency_resid
737,2021-10-01 11:08:00,0.225,0.21549536666418528,0.0004122790406635742,0.00909235429515115
738,2021-10-01 11:38:00,0.225,0.2160254319204662,-0.006981736398526485,0.01595630447806029
739,2021-10-01 12:08:00,0.225,0.21653707628617416,0.000375440301492115,0.00808748341233373
740,2021-10-01 12:38:00,0.225,0.21702899690211017,0.0002182902604988103,0.00775271283739104
741,2021-10-01 13:08:00,0.225,0.21750074212572532,0.00015419924407760946,0.007345058630197077
742,2021-10-01 13:38:00,0.225,0.21795242442328014,6.337701412281187e-05,0.006984198562597049
743,2021-10-01 14:08:00,0.225,0.21838441940107398,-4.3291551793791014e-05,0.006658872150719808
744,2021-10-01 14:38:00,0.225,0.21879705357861598,-0.0001605466125646628,0.006363493033948675
745,2021-10-01 15:08:00,0.225,0.2191904812921362,-0.0002838749256788876,0.006093393633542693
746,2021-10-01 15:38:00,0.225,0.2195652291571638,0.002124086205988652,0.003310684636847555
747,2021-10-01 16:08:00,0.225,0.21992218806209562,0.0026505522833076833,0.0024272596545966973
748,2021-10-01 16:38:00,0.225,0.2202625629321486,0.002347636336981812,0.0023898007308695846
749,2021-10-01 17:08:00,0.225,0.22058714224644088,-0.0007524537443202315,0.005165311497879355
750,2021-10-01 17:38:00,0.2,0.2208959980944984,-0.002869404546093409,-0.018026593548404968
751,2021-10-01 18:08:00,0.225,0.22118903299064274,0.0012332926082040646,0.002577674401153196
752,2021-10-01 18:38:00,0.225,0.22146621275931422,0.0011207692840487153,0.0024130179566370646
753,2021-10-01 19:08:00,0.225,0.22172745683147538,0.001013521453830446,0.0022590217146941927
754,2021-10-01 19:38:00,0.225,0.22197263588929075,0.0009116374623650997,0.0021157266483441406
755,2021-10-01 20:08:00,0.225,0.22220156848391037,0.0008153239514992146,0.001983107564590414
756,2021-10-01 20:38:00,0.225,0.2224140714940241,0.0007247343183948696,0.0018611941875810445
757,2021-10-01 21:08:00,0.225,0.22261004442406634,0.0006408335594097836,0.0017491220165238852
758,2021-10-01 21:38:00,0.225,0.2227895699276867,0.0005630926591627489,0.001647337413150568
759,2021-10-01 22:08:00,0.225,0.22295302502554126,0.0005061032262139,0.0015408717482448542
760,2021-10-01 22:38:00,0.225,0.22310119841850315,0.0005461801184875326,0.0013526214630093236
761,2021-10-01 23:08:00,0.213,0.22323535224139326,0.0039359902827221125,-0.014171342524115393
762,2021-10-01 23:38:00,0.213,0.22335696731977464,-0.005223305949816536,-0.0051336613699581035
763,2021-10-02 00:08:00,0.225,0.22346720710251025,-0.0005610925133007622,0.0020938854107905025
764,2021-10-02 00:38:00,0.225,0.2235668578805766,-0.0006900517483444551,0.0021231938677678808
765,2021-10-02 01:08:00,0.188,0.22365675157195944,-0.0005864928601535406,-0.035070258711805885
766,2021-10-02 01:38:00,0.225,0.22373744498385018,-0.0010306376216420632,0.002293192637791902
767,2021-10-02 02:08:00,0.225,0.22380957416836622,0.00011625015126176736,0.0010741756803720193
768,2021-10-02 02:38:00,0.225,0.22387390299590332,7.381606177620431e-05,0.0010522809423204882
769,2021-10-02 03:08:00,0.188,0.22393090873347193,-0.0024950029362339823,-0.03343590579723796
770,2021-10-02 03:38:00,0.225,0.22398102024387728,0.0006055589952588589,0.0004134207608638696
771,2021-10-02 04:08:00,0.213,0.22402436167332898,0.0026507949395288095,-0.013675156612857786
772,2021-10-02 04:38:00,0.213,0.22406107233511885,-0.00469616071545626,-0.0063649116196626
773,2021-10-02 05:08:00,0.225,0.2240915098553734,0.0006154567879688008,0.0002930333566578125
774,2021-10-02 05:38:00,0.225,0.22411630843132485,0.0006460328747984247,0.00023765869387673555
775,2021-10-02 06:08:00,0.225,0.22413633836184368,-4.0128296546823806e-05,0.0009037899347031364
