Event_No,Datetime,Hs (m)_observed,Hs (m)_trend,Hs (m)_seasonal,Hs (m)_resid
785,2021-10-02 11:08:00,1.751988618,1.0537708414491165,0.06215315611175411,0.6360646204391294
786,2021-10-02 11:38:00,1.417607049,1.0552209770487682,0.02479395831775627,0.3375921136334754
787,2021-10-02 12:08:00,1.638867209,1.0572721663603264,0.06035400789461642,0.5212410347450573
788,2021-10-02 12:38:00,1.396294063,1.0599945054619093,-0.005682032089547453,0.34198158962763814
789,2021-10-02 13:08:00,1.548290948,1.0634443008926484,0.04644006114698615,0.4384065859603654
790,2021-10-02 13:38:00,1.298436408,1.0676440966025598,0.017485299603035357,0.2133070117944047
791,2021-10-02 14:08:00,1.448108282,1.0725681667988558,0.03163450075853378,0.3439056144426105
792,2021-10-02 14:38:00,1.189861328,1.0781138733687419,0.003620625433314536,0.10812682919794381
793,2021-10-02 15:08:00,1.338216951,1.0840757961035616,0.06301785103446356,0.19112330386197485
794,2021-10-02 15:38:00,1.26894541,1.0901232949675035,-0.011357914616836313,0.19018002964933278
795,2021-10-02 16:08:00,1.314228852,1.0957968799752353,0.041947133648693964,0.17648483837607065
796,2021-10-02 16:38:00,1.196974431,1.1005317766662241,-0.028624975137364284,0.12506762947113992
797,2021-10-02 17:08:00,1.270102328,1.1037152501018113,0.021742837245927085,0.14464424065226145
798,2021-10-02 17:38:00,1.120155923,1.1047717206776522,-0.04970366568468505,0.06508786800703281
799,2021-10-02 18:08:00,1.2148747,1.103261898123706,-0.004718902755214567,0.11633170463150866
800,2021-10-02 18:38:00,1.02533912,1.0989679442886773,-0.060685142619746106,-0.012943681668931228
801,2021-10-02 19:08:00,1.160255242,1.0919251112260542,-0.024294355567704512,0.09262448634165033
802,2021-10-02 19:38:00,1.055257439,1.0823959568658355,-0.035726091457321474,0.008587573591485986
803,2021-10-02 20:08:00,1.133334464,1.0707965928768648,-0.02882541803240802,0.09136328915554337
804,2021-10-02 20:38:00,1.024064284,1.0576100932922778,-0.028224767211046168,-0.0053210420812315196
805,2021-10-02 21:08:00,1.084358239,1.043306547385363,-0.02872421272736616,0.06977590434200298
806,2021-10-02 21:38:00,0.898259932,1.028290712162062,-0.06254539344958421,-0.06748538671247772
807,2021-10-02 22:08:00,1.024615339,1.012879060526265,-0.018505697458395295,0.030241975932130183
808,2021-10-02 22:38:00,0.922193422,0.9973017926994372,-0.0001122116591590408,-0.07499615904027812
