TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,9/27/2021 13:39
,,,,,,,
,,,,,,,
Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar,
,,,mm/s^2,mm/s^2,mm/s^2,Meters,
9806187,27/9/2021,1:38:59 PM,6.91E+00,4.83E+01,3.92E+03,0.00E+00,
9806188,27/9/2021,1:38:59 PM,7.67E+00,4.98E+01,3.92E+03,0.00E+00,
9806189,27/9/2021,1:38:59 PM,1.02E+01,5.06E+01,3.92E+03,0.00E+00,
9806190,27/9/2021,1:38:59 PM,1.29E+01,5.24E+01,3.92E+03,0.00E+00,
9806191,27/9/2021,1:38:59 PM,1.51E+01,5.38E+01,3.92E+03,0.00E+00,
9806192,27/9/2021,1:38:59 PM,1.56E+01,5.32E+01,3.92E+03,0.00E+00,
9806193,27/9/2021,1:38:59 PM,1.72E+01,5.04E+01,3.92E+03,0.00E+00,
9806194,27/9/2021,1:38:59 PM,1.83E+01,4.77E+01,3.92E+03,0.00E+00,
9806195,27/9/2021,1:38:59 PM,1.95E+01,4.55E+01,3.92E+03,0.00E+00,
9806196,27/9/2021,1:39:00 PM,2.02E+01,4.26E+01,3.92E+03,0.00E+00,
9806197,27/9/2021,1:39:00 PM,1.99E+01,3.80E+01,3.92E+03,0.00E+00,
9806198,27/9/2021,1:39:00 PM,1.95E+01,3.22E+01,3.92E+03,0.00E+00,
9806199,27/9/2021,1:39:00 PM,1.95E+01,2.68E+01,3.92E+03,0.00E+00,
9806200,27/9/2021,1:39:00 PM,1.90E+01,2.18E+01,3.92E+03,0.00E+00,
9806201,27/9/2021,1:39:00 PM,1.81E+01,1.79E+01,3.92E+03,0.00E+00,
9806202,27/9/2021,1:39:00 PM,1.67E+01,1.33E+01,3.92E+03,0.00E+00,
9806203,27/9/2021,1:39:00 PM,1.59E+01,8.05E+00,3.91E+03,0.00E+00,
9806204,27/9/2021,1:39:00 PM,1.46E+01,3.40E+00,3.91E+03,0.00E+00,
9806205,27/9/2021,1:39:00 PM,1.33E+01,2.19E-01,3.91E+03,0.00E+00,
9806206,27/9/2021,1:39:01 PM,1.27E+01,-2.25E+00,3.91E+03,0.00E+00,
9806207,27/9/2021,1:39:01 PM,1.16E+01,-3.75E+00,3.91E+03,0.00E+00,
9806208,27/9/2021,1:39:01 PM,1.05E+01,-5.20E+00,3.91E+03,0.00E+00,
9806209,27/9/2021,1:39:01 PM,8.54E+00,-7.14E+00,3.91E+03,0.00E+00,
9806210,27/9/2021,1:39:01 PM,6.76E+00,-8.35E+00,3.91E+03,0.00E+00,
9806211,27/9/2021,1:39:01 PM,5.36E+00,-7.41E+00,3.91E+03,0.00E+00,
9806212,27/9/2021,1:39:01 PM,3.39E+00,-4.09E+00,3.91E+03,0.00E+00,
9806213,27/9/2021,1:39:01 PM,4.16E-01,-4.95E-01,3.91E+03,0.00E+00,
9806214,27/9/2021,1:39:01 PM,-2.71E+00,3.39E+00,3.91E+03,0.00E+00,
9806215,27/9/2021,1:39:01 PM,-4.99E+00,7.30E+00,3.91E+03,0.00E+00,
9806216,27/9/2021,1:39:02 PM,-6.95E+00,1.11E+01,3.91E+03,0.00E+00,
9806217,27/9/2021,1:39:02 PM,-9.97E+00,1.56E+01,3.91E+03,0.00E+00,
9806218,27/9/2021,1:39:02 PM,-1.26E+01,1.93E+01,3.92E+03,0.00E+00,
9806219,27/9/2021,1:39:02 PM,-1.56E+01,2.22E+01,3.91E+03,0.00E+00,
9806220,27/9/2021,1:39:02 PM,-1.69E+01,2.40E+01,3.91E+03,0.00E+00,
9806221,27/9/2021,1:39:02 PM,-1.71E+01,2.61E+01,3.91E+03,0.00E+00,
9806222,27/9/2021,1:39:02 PM,-1.80E+01,2.92E+01,3.92E+03,0.00E+00,
9806223,27/9/2021,1:39:02 PM,-1.82E+01,3.16E+01,3.92E+03,0.00E+00,
9806224,27/9/2021,1:39:02 PM,-1.94E+01,3.27E+01,3.92E+03,0.00E+00,
9806225,27/9/2021,1:39:02 PM,-1.91E+01,3.20E+01,3.92E+03,0.00E+00,
9806226,27/9/2021,1:39:03 PM,-1.70E+01,3.14E+01,3.92E+03,0.00E+00,
9806227,27/9/2021,1:39:03 PM,-1.52E+01,3.09E+01,3.92E+03,0.00E+00,
