Event_No,Datetime,Y Frequency_observed,Y Frequency_trend,Y Frequency_seasonal,Y Frequency_resid
949,2021-10-05 21:08:00,0.188,0.19798632368865124,-0.005063868768009206,-0.004922454920642028
950,2021-10-05 21:38:00,0.175,0.19767999495078606,-0.0015279598670887805,-0.021152035083697285
951,2021-10-05 22:08:00,0.188,0.19739077312363626,0.016541311579369222,-0.02593208470300548
952,2021-10-05 22:38:00,0.188,0.1971198421704688,-0.006736587980949815,-0.002383254189518985
953,2021-10-05 23:08:00,0.188,0.19686813946180293,0.0155792209997622,-0.02444736046156512
954,2021-10-05 23:38:00,0.175,0.19663648840674675,-0.0023648331802991105,-0.019271655226447637
955,2021-10-06 00:08:00,0.2,0.1964257198718672,0.003266989424626628,0.0003072907035061856
956,2021-10-06 00:38:00,0.188,0.19623654860885847,-0.004427629203595897,-0.0038089194052625674
957,2021-10-06 01:08:00,0.188,0.19606963895394872,-0.0042703270637575955,-0.003799311890191115
958,2021-10-06 01:38:00,0.2,0.1959254623648154,9.053309322898221e-05,0.0039840045419556325
959,2021-10-06 02:08:00,0.213,0.19580412831225105,0.018675738347321977,-0.0014798666595730314
960,2021-10-06 02:38:00,0.225,0.1957054501821493,0.003581623034704215,0.02571292678314649
961,2021-10-06 03:08:00,0.188,0.1956288351696956,-0.00022218720916848976,-0.007406647960527091
962,2021-10-06 03:38:00,0.188,0.19557319881467436,-0.00036521233250238724,-0.007207986482171969
963,2021-10-06 04:08:00,0.188,0.1955369703793697,-0.004825201391543679,-0.0027117689878260187
964,2021-10-06 04:38:00,0.2,0.19551834298185483,0.009514062261318823,-0.005032405243173638
965,2021-10-06 05:08:00,0.188,0.1955154035280656,0.01495545888434177,-0.022470862412407366
966,2021-10-06 05:38:00,0.2,0.1955262202960937,0.0016336113013399266,0.002840168402566373
967,2021-10-06 06:08:00,0.2,0.19554893198203416,0.008912521123486911,-0.004461453105521068
968,2021-10-06 06:38:00,0.188,0.1955815743309531,-0.0031821649643374193,-0.004399409366615675
969,2021-10-06 07:08:00,0.213,0.19562221987515893,0.007143101701018052,0.010234678423823002
970,2021-10-06 07:38:00,0.2,0.1956690226062433,-0.00015262206836088758,0.004483599462117599
